                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3993,                 2.9796,                 1.4585,                      0,                      0,                      0,                      0,                      0,                 329.95,                      0,                0.00062,                0.00062,                0.00062
                      2,                 1.1363,                  1.613,                 1.1837,                      0,                      0,                      0,                      0,                      0,                 215.11,                      0,              0.0011353,              0.0011353,              0.0011353
                      3,                 1.1304,                 1.2921,                 1.1779,                      0,                      0,                      0,                      0,                      0,                 196.14,                      0,              0.0015238,              0.0015238,              0.0015238
                      4,                 1.1139,                 1.0318,                 1.1593,                      0,                      0,                      0,                      0,                      0,                 148.11,                      0,               0.001406,               0.001406,               0.001406
                      5,                 1.0812,                0.87871,                 1.1356,                      0,                      0,                      0,                      0,                      0,                 161.25,                      0,               0.001406,               0.001406,               0.001406
                      6,                 1.0463,                0.74545,                 1.1276,                      0,                      0,                      0,                      0,                      0,                 146.77,                      0,               0.001208,               0.001208,               0.001208
                      7,                 1.0624,                 0.6827,                 1.1246,                      0,                      0,                      0,                      0,                      0,                 307.07,                      0,                0.00101,                0.00101,                0.00101
                      8,                 1.0175,                0.60574,                  1.101,                      0,                      0,                      0,                      0,                      0,                 144.14,                      0,               0.000812,               0.000812,               0.000812
                      9,                0.96828,                0.55693,                 1.0707,                      0,                      0,                      0,                      0,                      0,                 170.18,                      0,               0.000614,               0.000614,               0.000614
                     10,                0.94836,                0.52446,                 1.0645,                      0,                      0,                      0,                      0,                      0,                 195.57,                      0,               0.000416,               0.000416,               0.000416
