                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1643,                   2.93,                   1.28,                      0,                      0,                      0,                      0,                      0,                 324.92,                      0,                0.00062,                0.00062,                0.00062
                      2,                0.93179,                 1.4201,                 1.0292,                      0,                      0,                      0,                      0,                      0,                 216.16,                      0,              0.0011353,              0.0011353,              0.0011353
                      3,                0.90555,                 1.1199,                 1.0089,                      0,                      0,                      0,                      0,                      0,                 119.44,                      0,              0.0015238,              0.0015238,              0.0015238
                      4,                 0.9318,                0.94326,                 1.0275,                      0,                      0,                      0,                      0,                      0,                 186.89,                      0,               0.001406,               0.001406,               0.001406
                      5,                0.89342,                0.76951,                 1.0162,                      0,                      0,                      0,                      0,                      0,                  164.8,                      0,               0.001406,               0.001406,               0.001406
                      6,                0.86503,                0.65322,                  1.003,                      0,                      0,                      0,                      0,                      0,                 171.63,                      0,               0.001208,               0.001208,               0.001208
                      7,                0.84959,                0.59219,                0.98476,                      0,                      0,                      0,                      0,                      0,                 112.11,                      0,                0.00101,                0.00101,                0.00101
                      8,                0.82752,                0.54132,                 0.9827,                      0,                      0,                      0,                      0,                      0,                 115.04,                      0,               0.000812,               0.000812,               0.000812
                      9,                0.79515,                0.49579,                0.96449,                      0,                      0,                      0,                      0,                      0,                 118.85,                      0,               0.000614,               0.000614,               0.000614
                     10,                0.77405,                 0.4543,                0.96142,                      0,                      0,                      0,                      0,                      0,                 138.25,                      0,               0.000416,               0.000416,               0.000416
